set JOBS := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21;
param M := 1000;

param x_grid := 100;
param y_grid := 100;

param processing_time := 
1 8
2 10
3 9
4 7
5 2
6 2
7 8
8 8
9 2
10 8
11 10
12 7
13 2
14 5
15 1
16 9
17 1
18 2
19 9
20 9
21 4;

param weight :=
1 21
2 16
3 22
4 6
5 19
6 7
7 7
8 13
9 11
10 15
11 8
12 12
13 16
14 20
15 24
16 8
17 17
18 13
19 1
20 5
21 9;

param width :=
1 2
2 20
3 41
4 48
5 48
6 49
7 11
8 18
9 3
10 26
11 10
12 1
13 31
14 20
15 32
16 38
17 18
18 27
19 41
20 22
21 22;

param height :=
1 12
2 23
3 48
4 43
5 9
6 35
7 17
8 5
9 19
10 6
11 50
12 24
13 19
14 17
15 1
16 19
17 33
18 24
19 13
20 32
21 48;

